iter	Passed	Remaining
0	0	86
1	1	75
2	2	70
3	2	64
4	3	63
5	4	63
6	4	64
7	5	63
8	6	62
9	6	61
10	7	60
11	8	60
12	8	59
13	9	59
14	10	58
15	11	57
16	11	57
17	13	59
18	13	58
19	14	57
20	15	56
21	15	55
22	16	54
23	17	53
24	17	53
25	18	52
26	19	52
27	20	51
28	20	50
29	21	50
30	22	49
31	23	48
32	23	48
33	24	47
34	25	47
35	26	46
36	27	46
37	27	45
38	28	45
39	29	44
40	30	43
41	30	42
42	31	41
43	32	41
44	33	40
45	33	39
46	34	38
47	35	38
48	35	37
49	36	36
50	37	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	41	30
57	42	30
58	42	29
59	43	29
60	44	28
61	45	27
62	45	26
63	46	26
64	47	25
65	47	24
66	48	23
67	49	23
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	58	13
81	58	12
82	59	12
83	60	11
84	61	10
85	61	10
86	62	9
87	63	8
88	64	7
89	64	7
90	65	6
91	66	5
92	67	5
93	68	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
